episode,steps,total_steps,return,status,on_pad,fuel,epsilon,loss_mean,q_mean,return_avg100,pad_rate100,seconds
66,139,8651,-164.53,crashed,0,13.83,0.8356,0.7226,4.34,-140.31,0.0,2.3
67,170,8821,-211.64,crashed,0,21.39,0.8324,0.88,1.325,-141.38,0.0,2.3
68,175,8996,-132.27,crashed,0,25.35,0.8291,0.3925,5.09,-141.24,0.0,2.4
69,161,9157,-60.56,crashed,0,22.29,0.826,0.8527,9.883,-140.07,0.0,2.4
70,204,9361,-68.78,crashed,0,28.92,0.8221,0.4712,9.008,-139.05,0.0,2.5
71,187,9548,-162.95,crashed,0,25.02,0.8186,0.7323,3.455,-139.39,0.0,2.5
72,142,9690,-49.74,crashed,0,17.1,0.8159,0.4535,13.192,-138.14,0.0,2.6
73,129,9819,-124.61,crashed,0,16.29,0.8134,0.7269,7.833,-137.96,0.0,2.6
74,142,9961,-188.86,crashed,0,17.01,0.8107,0.6302,1.89,-138.65,0.0,2.6
75,132,10093,-174.98,crashed,0,14.46,0.8082,1.0382,5.683,-139.13,0.0,2.7
76,148,10241,-74.73,crashed,0,17.58,0.8054,0.6627,12.05,-138.28,0.0,2.7
77,166,10407,-95.52,crashed,0,22.95,0.8023,0.5341,5.606,-137.73,0.0,2.8
78,177,10584,-174.34,crashed,0,22.8,0.7989,0.5529,1.698,-138.2,0.0,2.9
79,174,10758,-114.04,crashed,0,22.35,0.7956,0.629,6.891,-137.89,0.0,2.9
80,143,10901,-103.55,crashed,0,19.68,0.7929,0.543,6.054,-137.46,0.0,3.0
81,152,11053,-79.92,crashed,0,18.42,0.79,0.6823,11.315,-136.75,0.0,3.0
82,142,11195,-173.04,crashed,0,15.6,0.7873,0.4875,3.968,-137.2,0.0,3.0
83,166,11361,-150.02,crashed,0,20.7,0.7841,0.6061,4.373,-137.35,0.0,3.1
84,128,11489,-209.52,crashed,0,13.74,0.7817,0.5919,-2.006,-138.21,0.0,3.1
85,198,11687,-78.37,crashed,0,27.69,0.7779,0.6472,11.369,-137.5,0.0,3.2
86,149,11836,-78.38,crashed,0,19.29,0.7751,0.7005,13.443,-136.82,0.0,3.2
87,141,11977,-194.8,crashed,0,15.93,0.7724,0.6091,3.847,-137.48,0.0,3.3
88,163,12140,-117.53,crashed,0,21.51,0.7693,0.8749,7.795,-137.26,0.0,3.3
89,215,12355,-97.24,crashed,0,32.46,0.7653,0.595,10.201,-136.81,0.0,3.4
90,138,12493,-137.78,crashed,0,17.28,0.7626,0.3865,6.977,-136.82,0.0,3.4
91,213,12706,-62.47,crashed,0,30.72,0.7586,0.5292,12.055,-136.0,0.0,3.5
92,162,12868,-125.15,crashed,0,22.59,0.7555,0.7663,8.325,-135.88,0.0,3.5
93,160,13028,-48.27,crashed,0,20.97,0.7525,0.7868,17.0,-134.94,0.0,3.6
94,178,13206,-174.11,crashed,0,25.62,0.7491,0.642,4.072,-135.36,0.0,3.6
95,127,13333,-156.43,crashed,0,14.19,0.7467,0.7262,4.202,-135.58,0.0,3.7
96,184,13517,-148.22,crashed,0,25.05,0.7432,0.6164,6.415,-135.71,0.0,3.7
97,172,13689,-180.83,crashed,0,21.24,0.7399,0.5434,8.302,-136.18,0.0,3.8
98,194,13883,-144.04,crashed,0,26.61,0.7362,0.4823,8.052,-136.26,0.0,3.8
99,167,14050,-121.66,crashed,0,22.14,0.733,0.551,10.061,-136.11,0.0,3.9
100,177,14227,-111.86,crashed,0,26.34,0.7297,0.6729,9.555,-135.87,0.0,3.9
101,253,14480,-101.06,crashed,0,39.39,0.7249,0.5113,9.608,-135.41,0.0,4.8
102,182,14662,-135.6,crashed,0,26.28,0.7214,0.5967,8.213,-135.25,0.0,4.8
103,153,14815,-163.53,crashed,0,19.14,0.7185,0.5835,6.119,-135.61,0.0,4.9
104,212,15027,-105.49,crashed,0,31.26,0.7145,0.4842,9.386,-135.48,0.0,4.9
105,153,15180,-84.6,crashed,0,21.21,0.7116,0.7428,10.238,-134.54,0.0,5.0
106,158,15338,-131.63,crashed,0,20.13,0.7086,0.5123,11.703,-134.89,0.0,5.0
107,149,15487,-137.72,crashed,0,17.64,0.7057,0.3674,6.349,-134.64,0.0,5.1
108,174,15661,-177.97,crashed,0,21.75,0.7024,0.5968,2.668,-135.12,0.0,5.1
109,196,15857,-89.1,crashed,0,29.61,0.6987,0.5886,12.408,-134.33,0.0,5.2
110,155,16012,-113.09,crashed,0,20.64,0.6958,0.6641,10.745,-134.75,0.0,5.2
111,244,16256,-110.38,crashed,0,35.76,0.6911,0.652,8.072,-134.6,0.0,5.3
112,158,16414,-163.2,crashed,0,19.86,0.6881,0.6529,8.605,-135.17,0.0,5.3
113,209,16623,-53.34,crashed,0,33.27,0.6842,0.5268,13.309,-134.8,0.0,5.4
